AS2.A1ModJulian,AS2.Hellas_Planitia_GS.X,AS2.Hellas_Planitia_GS.Y,AS2.Hellas_Planitia_GS.Z,AS2.Valles_Marineris_GS.X,AS2.Valles_Marineris_GS.Y,AS2.Valles_Marineris_GS.Z,AS2.Schiaparelli_Crater_GS.X,AS2.Schiaparelli_Crater_GS.Y,AS2.Schiaparelli_Crater_GS.Z,AS2.Mawrth_Vallis_GS.X,AS2.Mawrth_Vallis_GS.Y,AS2.Mawrth_Vallis_GS.Z,AS2.Arcadia_Planitia_GS.X,AS2.Arcadia_Planitia_GS.Y,AS2.Arcadia_Planitia_GS.Z
21545.90042,1639.174734,-20343.50694,-5150.285697,-4477.089409,8918.802724,14487.81026,-717.5119678,-13939.8463,11593.36017,8331.379681,-2576.90536,15129.2733,-13052.33385,10391.99499,-15303.34435
21545.90886,1644.245717,-20352.78475,-5155.686716,-4479.906965,8917.539591,14499.27452,-717.6055567,-13951.30402,11596.47069,8335.213817,-2584.40075,15137.6448,-13056.35574,10402.5173,-15307.09521
21545.91727,1649.994195,-20361.74391,-5161.807186,-4482.77976,8915.271814,14510.99527,-717.6502404,-13963.37099,11598.74181,8338.921195,-2592.881292,15145.71372,-13059.86218,10413.81518,-15310.38679
21545.92568,1656.402253,-20370.36344,-5168.62805,-4485.700276,8912.010182,14522.94166,-717.6461569,-13976.01371,11600.17206,8342.493105,-2602.320631,15153.46125,-13062.84691,10425.85623,-15313.21313
21545.93407,1663.448806,-20378.62082,-5176.126877,-4488.660106,8907.768543,14535.07914,-717.5935524,-13989.19401,11600.76141,8345.920177,-2612.687775,15160.8672,-13065.30407,10438.6032,-15315.56849
21545.94245,1671.112265,-20386.49584,-5184.280702,-4491.651238,8902.562637,14547.37471,-717.4927921,-14002.87455,11600.51216,8349.194006,-2623.951013,15167.91354,-13067.22956,10452.0191,-15317.44882
21545.95081,1679.36968,-20393.96939,-5193.065116,-4494.665637,8896.410442,14559.79521,-717.3443543,-14017.017,11599.42867,8352.306617,-2636.076668,15174.58325,-13068.62064,10466.06556,-15318.85123
21545.95917,1688.197341,-20401.02359,-5202.454901,-4497.695384,8889.331544,14572.30789,-717.1488077,-14031.58286,11597.51691,8355.250536,-2649.029956,15180.86043,-13069.47573,10480.70368,-15319.7739
21545.96751,1697.570054,-20407.64146,-5212.423263,-4500.732485,8881.347843,14584.87963,-716.9068339,-14046.53243,11594.7849,8358.018661,-2662.773944,15186.73005,-13069.79453,10495.89299,-15320.21614
21545.97585,1707.46151,-20413.80698,-5222.942222,-4503.768939,8872.483118,14597.47724,-716.619212,-14061.82527,11591.24236,8360.60427,-2677.270079,15192.17797,-13069.57787,10511.59187,-15320.17828
21545.98417,1717.844923,-20419.50569,-5233.983292,-4506.79698,8862.762575,14610.06842,-716.2868058,-14077.42126,11586.90067,8363.001276,-2692.479123,15197.19146,-13068.82784,10527.7587,-15319.66182
21545.99249,1728.69412,-20424.72481,-5245.518638,-4509.809298,8852.21157,14622.62272,-715.9105121,-14093.28204,11581.77207,8365.204293,-2708.362752,15201.75933,-13067.5474,10544.35337,-15318.66902
21546.0008,1739.979354,-20429.45119,-5257.516629,-4512.797871,8840.859664,14635.1067,-715.4914047,-14109.36481,11575.87157,8367.207765,-2724.877427,15205.87013,-13065.74086,10561.33087,-15317.20334
21546.00911,1751.673141,-20433.67417,-5269.948036,-4515.755586,8828.734958,14647.49062,-715.0305319,-14125.63088,11569.2142,8369.007159,-2741.982925,15209.5146,-13063.41316,10578.65015,-15315.26888
21546.01741,1763.745151,-20437.38321,-5282.780608,-4518.674853,8815.869137,14659.74272,-714.5290998,-14142.03832,11561.81759,8370.597992,-2759.634881,15212.68368,-13060.57065,10596.26649,-15312.87091
21546.02571,1776.165875,-20440.56942,-5295.982965,-4521.54856,8802.293737,14671.83316,-713.9883322,-14158.5471,11553.69995,8371.976443,-2777.790138,15215.36976,-13057.22037,10614.13686,-15310.0154
21546.02708,1778.248588,-20441.04474,-5298.196659,-4522.018272,8799.985792,14673.81226,-713.8953304,-14161.28045,11552.29131,8372.183415,-2780.833804,15215.76641,-13056.61877,10617.10953,-15309.50026
