RGT_3.A1ModJulian         RGT_3.Hellas_Planitia_GS.X   RGT_3.Hellas_Planitia_GS.Y   RGT_3.Hellas_Planitia_GS.Z   RGT_3.Valles_Marineris_GS.X   RGT_3.Valles_Marineris_GS.Y   RGT_3.Valles_Marineris_GS.Z   RGT_3.Schiaparelli_Crater_GS.X   RGT_3.Schiaparelli_Crater_GS.Y   RGT_3.Schiaparelli_Crater_GS.Z   RGT_3.Mawrth_Vallis_GS.X   RGT_3.Mawrth_Vallis_GS.Y   RGT_3.Mawrth_Vallis_GS.Z   RGT_3.Arcadia_Planitia_GS.X   RGT_3.Arcadia_Planitia_GS.Y   RGT_3.Arcadia_Planitia_GS.Z   
21545.08045261405         -8049.586386496966           4770.991413547801            5325.928427920431            2539.880715717935             7459.700460727497             -13494.22564207474            -151.0290183319439               12407.96680013725                -231.7412631550828               -1932.79980839328          11928.770797519            -7643.367317060198         -1932.79980839328             11928.770797519               -7643.367317060198            
21545.08880339612         -7876.939398029825           5387.916650447581            5139.115207565792            2633.059631277521             6913.689890383423             -13866.3721946895             -120.2207732316383               12567.05659373429                -879.0774968638302               -2187.419086881893         11680.22127996293          -8207.898157839672         -2187.419086881893            11680.22127996293             -8207.898157839672            
21545.09716508182         -7683.369358617097           5990.241252810451            4929.714076641138            2719.241215984664             6349.556716285671             -14210.52276746459            -89.08611754610138               12692.67734366382                -1532.807701764463               -2436.138386090388         11400.74614628             -8759.392020239295         -2436.138386090388            11400.74614628                -8759.392020239295            
21545.10553974576         -7469.385999108359           6576.478089801019            4698.277629307387            2798.219713926347             5768.734024555204             -14525.85233152424            -57.7024543192224                12784.55740491408                -2191.289634977906               -2678.342694755238         11091.08313775006          -9296.487198342445         -2678.342694755238            11091.08313775006             -9296.487198342445            
21545.11392586865         -7235.639199671633           7144.945252979349            4445.509684262435            2869.776174315867             5172.933446619656             -14811.48401780926            -26.16069019309725               12842.47647558755                -2852.602431070269               -2913.336334127096         10752.17433210539          -9817.642575206924         -2913.336334127096            10752.17433210539             -9817.642575206924            
21545.12232535278         -6982.736922117636           7694.260620063777            4172.068354330316            2933.744771941812             4563.653234369703             -15066.75394731457            5.461295805974032                12866.34126403564                -3515.103462996799               -3140.547304859193         10384.90261793887          -10321.59074532716         -3140.547304859193            10384.90261793887             -10321.59074532716            
21545.13073852879         -6711.369729870762           8222.995203883207            3878.700713685267            2989.965711331569             3942.519204896309             -15291.02322548276            37.08017155795733                12856.12876201504                -4177.040723785437               -3359.384085242248         9990.271833078676          -10807.02044459912         -3359.384085242248            9990.271833078676             -10807.02044459912            
21545.13916524626         -6422.285571046791           8729.758074791414            3566.215505197301            3038.29776782065              3311.207772239119             -15483.72805430967            68.61144769168197                12811.90641467122                -4836.643199797351               -3569.270694221693         9569.370407976945          -11272.65427652871         -3569.270694221693            9569.370407976945             -11272.65427652871            
21545.14760529453         -6116.274888163413           9213.227841216145            3235.467035240527            3078.621872920593             2671.410533991379             -15644.39405555693            99.97130248479507                12733.83301325897                -5492.159185090208               -3769.659718106704         9123.349729053873          -11717.27759637469         -3769.659718106704            9123.349729053873             -11717.27759637469            
21545.15605811366         -5794.17833780803            9672.139274944057            2887.363516160499            3110.839854426                2024.851043752059             -15772.63125364827            131.0757445913649                12622.15996808072                -6141.838795674375               -3960.026772123133         8653.435378587285          -12139.72622013006         -3960.026772123133            8653.435378587285             -12139.72622013006            
21545.16452280034         -5456.885634068329           10105.28947370759            2522.865815258805            3134.875477322049             1373.280062866317             -15868.13822913736            161.8408978958541                12477.23357321951                -6783.939941960548               -4139.873039845021         8160.925488944606          -12538.89205691305         -4139.873039845021            8160.925488944606             -12538.89205691305            
21545.1730006823          -5105.225513911711           10511.66281894395            2142.868560797255            3150.678943605842             718.2717930672051             -15930.71990519325            192.1924186980032                12299.43808132469                -7416.924615922388               -4308.777216243162         7647.029929280964          -12913.83842932719         -4308.777216243162            7647.029929280964             -12913.83842932719            
21545.18149002572         -4740.176745518655           10890.16617339208            1748.428175358936            3158.213126403215             61.62818165294766             -15960.23285088351            222.0464907941628                12089.29001832286                -8039.062170076878               -4466.285530401244         7113.178479065949          -13263.55598732312         -4466.285530401244            7113.178479065949             -13263.55598732312            
21545.18999059663         -4362.682130045769           11239.85934602326            1340.561893953777            3157.465116627172             -594.9758626145551            -15956.63108548666            251.3264795894765                11847.35331828587                -8648.776626710935               -4612.007460061615         6560.749170649687          -13587.17517960095         -4612.007460061615            6560.749170649687             -13587.17517960095            
21545.19849995137         -3973.806767660088           11559.79552237987            920.4187888830666            3148.443897826808             -1249.710206983045            -15919.95699235808            279.950174039001                 11574.3331173597                 -9244.380595119395               -4745.549295642895         5991.299793813198          -13883.81876797941         -4745.549295642895            5991.299793813198             -13883.81876797941            
21545.2070202997          -3574.422841426433           11849.28073865842            488.9392295266689            3131.173077965565             -1901.120273300349            -15850.31170975076            307.8530076195348                11270.85454262723                -9824.558160742739               -4866.622431191739         5406.106326069626          -14152.84241428253         -4866.622431191739            5406.106326069626             -14152.84241428253            
21545.21554809639         -3165.686005261648           12107.49140188565            47.36959523837868            3105.703895743217             -2547.330029660358            -15747.90779718859            334.9533710474579                10937.80276896969                -10387.64285789059               -4974.883642778683         4806.860635260452          -14393.47990486395         -4974.883642778683            4806.860635260452             -14393.47990486395            
