AS1.A1ModJulian           AS1.Hellas_Planitia_GS.X   AS1.Valles_Marineris_GS.X   AS1.Schiaparelli_Crater_GS.X   AS1.Mawrth_Vallis_GS.X    AS1.Arcadia_Planitia_GS.X   AS1.Hellas_Planitia_GS.Y   AS1.Hellas_Planitia_GS.Z   AS1.Valles_Marineris_GS.Y   AS1.Valles_Marineris_GS.Z   AS1.Schiaparelli_Crater_GS.Y   AS1.Schiaparelli_Crater_GS.Z   AS1.Mawrth_Vallis_GS.Y    AS1.Mawrth_Vallis_GS.Z    AS1.Arcadia_Planitia_GS.Y   AS1.Arcadia_Planitia_GS.Z   
21545.30957886727         5641.010684077364          2770.381028425647           953.9827885388204              -7755.643206469665        -7755.643206469665          18746.9191725737           -9476.348233769313         -17054.72104686761          -14419.64824623624          4391.622817868301              -23391.69759532224             -8101.473513320218        -20556.54689660025        -8101.473513320218          -20556.54689660025          
21545.31811259929         5639.170198092766          2773.279834057825           954.4340813623548              -7760.524967780318        -7760.524967780318          18758.9702654832           -9474.26186462228          -17058.8503119901           -14430.94051176988          4400.984715627683              -23399.76731465235             -8098.578712139443        -20567.53587734108        -8098.578712139443          -20567.53587734108          
21545.32663746144         5636.644378280944          2776.362201038512           954.8733436473321              -7765.478641571863        -7765.478641571863          18771.22553911635          -9471.421616080936         -17062.23004222083          -14442.92862866949          4411.28932898858               -23407.40017137591             -8094.663239478019        -20578.70586835629        -8094.663239478019          -20578.70586835629          
21545.33515329126         5633.442467988628          2779.618904105146           955.2993767903281              -7770.490121113227        -7770.490121113227          18783.64999836367          -9467.837837368043         -17064.85313596214          -14455.57679656342          4422.50479387207               -23414.57615424015             -8089.741298485763        -20590.0249874256         -8089.741298485763          -20590.0249874256           
21545.34365967284         5629.575637805878          2783.040176818373           955.711011650068               -7775.545046289426        -7775.545046289426          18796.20795014172          -9463.52299713436          -17066.71453244879          -14468.84715717779          4434.596522416407              -23421.27638051013             -8083.829963249723        -20601.46073060424        -8083.829963249723          -20601.46073060424          
21545.35215412846         5625.058049443014          2786.614950648156           956.1070313673881              -7780.627764836313        -7780.627764836313          18808.86041172552          -9458.492866254546         -17067.8111609325           -14482.69685044209          4447.524388671588              -23427.48194638208             -8076.950793948452        -20612.97761418174        -8076.950793948452          -20612.97761418174          
21545.36063772231         5619.904069522188          2790.333185489277           956.4864421064049              -7785.724707362946        -7785.724707362946          18821.57350703923          -9452.763409959924         -17068.14293211668          -14497.08704253876          4461.251055293848              -23433.17822959423             -8069.125584438254        -20624.54481972804        -8069.125584438254          -20624.54481972804          
21545.36910710289         5614.13245262584           2794.182576657724           956.8481082937578              -7790.819720213656        -7790.819720213656          18834.30684289448          -9446.35544785765          -17067.71177360156          -14511.97017635053          4475.730055731226              -23438.34921842952             -8060.382732911702        -20636.12561299888        -8060.382732911702          -20636.12561299888          
21545.37756633259         5607.758568975224          2798.153886569558           957.1912697777443              -7795.90121359023         -7795.90121359023           18847.03136133001          -9439.28602027841          -17066.52142528758          -14527.31059150058          4490.925711466731              -23442.9850415201              -8050.745458429218        -20647.69358319438        -8050.745458429218          -20647.69358319438          
21545.38601206687         5600.804559646978          2802.234207768577           957.514914058168               -7800.953261367995        -7800.953261367995          18859.70709759955          -9431.579659466246         -17064.57828299704          -14543.05847102626          4506.787754004775              -23447.07299864065             -8040.247179998176        -20659.21241541574        -8040.247179998176          -20659.21241541574          
