MSC.A1ModJulian,MSC.Hellas_Planitia_GS.X,MSC.Hellas_Planitia_GS.Y,MSC.Hellas_Planitia_GS.Z,MSC.Valles_Marineris_GS.X,MSC.Valles_Marineris_GS.Y,MSC.Valles_Marineris_GS.Z,MSC.Schiaparelli_Crater_GS.X,MSC.Schiaparelli_Crater_GS.Y,MSC.Schiaparelli_Crater_GS.Z,MSC.Mawrth_Vallis_GS.X,MSC.Mawrth_Vallis_GS.Y,MSC.Mawrth_Vallis_GS.Z,MSC.Arcadia_Planitia_GS.X,MSC.Arcadia_Planitia_GS.Y,MSC.Arcadia_Planitia_GS.Z
30988.63862,-6996.252388,-1931.748555,-7109.020952,-7561.542754,2759.06316,-4746.114158,-7793.746363,505.887614,-1002.185496,-6209.476793,2022.438153,1534.802936,-7111.028885,-1087.638894,518.1281943
30988.64286,-7333.888214,-1892.026538,-6405.131479,-7232.705468,3366.881835,-5111.434124,-7583.37861,1131.331712,-583.1374458,-6013.117993,2768.76899,1410.425758,-7151.1369,-1786.218979,169.6839498
30988.64709,-7596.310325,-1871.764974,-5667.904813,-6835.821244,3962.720834,-5428.037745,-7295.247974,1723.815723,-160.3816221,-5737.891912,3488.315791,1271.565902,-7143.937944,-2452.606275,-240.9925648
30988.65132,-7780.595656,-1869.535107,-4905.545211,-6374.965867,4539.058978,-5693.753538,-6932.495205,2277.721693,260.0429526,-5387.539435,4173.084808,1118.259829,-7088.393098,-3080.050752,-708.3108894
30988.65554,-7884.695898,-1883.328276,-4126.405292,-5854.753387,5088.472631,-5907.317904,-6498.994436,2788.165615,671.8805529,-4966.715133,4815.572838,950.3248321,-6983.71753,-3662.480241,-1225.90633
30988.65976,-7907.452086,-1910.607543,-3338.901455,-5280.291982,5603.724161,-6068.35905,-5999.31053,3251.025043,1068.745065,-4480.923181,5408.838723,767.3875067,-6829.405279,-4194.545479,-1786.725915
30988.66397,-7848.615368,-1948.364008,-2551.465179,-4657.171704,6077.834245,-6177.372568,-5438.684855,3662.94605,1444.195641,-3936.477765,5946.552671,568.9281969,-6625.270106,-4671.642988,-2383.089896
30988.66818,-7708.858771,-1993.186197,-1772.366858,-3991.353114,6504.234958,-6235.709241,-4822.930958,4021.413062,1791.87893,-3340.372854,6423.132909,354.2998168,-6371.458378,-5090.012715,-3006.85388
30988.67238,-7489.781587,-2041.330252,-1009.701997,-3289.173993,6876.818539,-6245.522956,-4158.431493,4324.717977,2105.593677,-2700.247697,6833.758129,122.7894162,-6068.496215,-5446.7217,-3649.460276
30988.67658,-7193.871703,-2088.805078,-271.2016921,-2557.200318,7190.078916,-6209.722209,-3451.988533,4572.001504,2379.433812,-2024.208856,7174.480228,-126.3674714,-5717.275329,-5739.733603,-4302.137174
30988.68077,-6824.512658,-2131.448149,435.7310032,-1802.273646,7439.133947,-6131.903935,-2710.855708,4763.190722,2607.835191,-1320.826374,7442.201693,-393.9056409,-5319.11785,-5967.858077,-4955.91712
30988.68496,-6385.954634,-2165.014138,1104.132595,-1031.427068,7619.825479,-6016.289806,-1942.646462,4898.996886,2785.688345,-599.0086605,7634.736919,-680.488753,-4875.789237,-6130.771871,-5601.780372
30988.68915,-5883.250313,-2185.265297,1727.582544,-251.7857352,7728.795185,-5867.640629,-1155.221283,4980.888162,2908.436009,132.1417037,7750.843707,-986.6748737,-4389.489807,-6229.011961,-6230.806072
30988.69333,-5322.202867,-2188.057819,2300.245553,529.4797509,7763.527365,-5691.167195,-356.624086,5011.035162,2972.143403,863.4244343,7790.218177,-1312.865272,-3862.866654,-6263.93678,-6834.273775
30988.69752,-4709.329347,-2169.428329,2816.896719,1305.177402,7722.390016,-5492.445506,444.9585404,4992.254706,2973.56627,1585.617126,7753.487549,-1659.243698,-3299.040492,-6237.685465,-7403.747536
30988.70169,-4051.775312,-2125.680168,3272.98685,2068.178646,7604.672743,-5277.314933,1241.301195,4927.950771,2910.219619,2289.608245,7642.199313,-2025.741791,-2701.588739,-6153.133868,-7931.205448
30988.70587,-3357.307141,-2053.473198,3664.639724,2811.402632,7410.628909,-5051.800058,2024.140189,4822.055611,2780.446025,2966.437453,7458.81315,-2411.958827,-2074.601453,-6013.851693,-8409.095895
30988.71004,-2634.062553,-1949.887948,3988.78075,3528.055667,7141.446883,-4821.953355,2785.443387,4678.931391,2583.436022,3607.568287,7206.625365,-2817.215063,-1422.519815,-5824.00803,-8830.556407
