D1.A1ModJulian	D1.Hellas_Planitia_GS.X	D1.Hellas_Planitia_GS.Y	D1.Hellas_Planitia_GS.Z	D1.Valles_Marineris_GS.X	D1.Valles_Marineris_GS.Y	D1.Valles_Marineris_GS.Z	D1.Schiaparelli_Crater_GS.X	D1.Schiaparelli_Crater_GS.Y	D1.Schiaparelli_Crater_GS.Z	D1.Mawrth_Vallis_GS.X	D1.Mawrth_Vallis_GS.Y	D1.Mawrth_Vallis_GS.Z	D1.Arcadia_Planitia_GS.X	D1.Arcadia_Planitia_GS.Y	D1.Arcadia_Planitia_GS.Z
30988.59867	11962.44638	-1936.605999	-7667.556811	3833.386526	-8441.951453	5473.333138	6103.108305	-10216.65401	-8188.89379	6083.04051	-11261.03274	-4138.614395	5976.453827	11068.65915	-5860.46561
30988.60704	11497.38938	-1802.706624	-8860.658552	2670.668508	-8986.229778	5375.625725	4973.786825	-10589.50358	-8682.163513	4976.013986	-11819.78769	-3792.227335	5456.732792	11527.0401	-4775.350057
30988.61542	10919.63273	-1602.46903	-10007.03328	1486.567801	-9472.677705	5153.484356	3792.953205	-10833.73722	-9165.955566	3795.659715	-12267.09149	-3484.402768	4914.390145	11857.24471	-3641.814777
30988.6238	10231.83838	-1349.27096	-11090.98833	291.8413879	-9885.916208	4815.85793	2572.414473	-10949.41856	-9623.155629	2559.009072	-12593.35845	-3208.04444	4346.006735	12055.78524	-2480.070045
30988.6322	9438.602745	-1057.822337	-12098.25035	-902.8921976	-10211.8371	4374.123743	1324.448478	-10939.29882	-10036.94341	1284.04771	-12791.37083	-2955.049413	3748.273184	12121.86677	-1310.843935
30988.64061	8546.413576	-743.7806968	-13016.2789	-2087.337461	-10437.97912	3841.818119	61.58008961	-10808.75184	-10391.23283	-10.66619665	-12856.47615	-2716.55986	3118.144444	12057.41578	-154.9097191
30988.64902	7563.760294	-423.4103708	-13834.30716	-3251.414066	-10553.79943	3234.425189	-1203.34951	-10565.65733	-10671.00599	-1306.093852	-12786.68877	-2483.296553	2453.137126	11867.03858	967.1137424
30988.65744	6500.954046	-113.1354177	-14543.62503	-4385.490858	-10550.98605	2568.976905	-2457.487096	-10220.20595	-10862.73958	-2583.195507	-12582.77127	-2245.833884	1751.438133	11557.91919	2035.300631
30988.66588	5370.096625	170.8469536	-15137.60276	-5480.343835	-10423.66242	1863.725394	-3687.991484	-9784.667981	-10954.71603	-3823.12479	-12248.22711	-1994.936249	1012.138368	11139.65992	3030.684518
30988.67432	4184.880146	412.9901042	-15611.77585	-6527.258129	-10168.55285	1137.708114	-4882.223726	-9273.08353	-10937.33141	-5007.589124	-11789.22287	-1721.859571	235.3588295	10624.04292	3935.650918
30988.68278	2960.488669	598.7752645	-15963.80758	-7517.983714	-9785.105753	410.3786854	-6027.782	-8700.963672	-10803.34608	-6119.047104	-11214.49045	-1418.675199	-577.5542498	10024.79169	4734.179096
30988.69124	1713.344518	715.1042153	-16193.47725	-8444.804066	-9275.552026	-298.8519868	-7112.669575	-8084.91249	-10548.10305	-7141.031606	-10535.14242	-1078.553094	-1423.938331	9357.24703	5412.166723
30988.69971	460.7788894	750.6537938	-16302.6027	-9300.610365	-8644.858953	-971.0979371	-8125.47809	-7442.191352	-10169.65723	-8058.466909	-9764.388201	-696.004819	-2299.78639	8637.967334	5957.712035
